date,vending_machine,cash_type,money,product_name
2024-03-01,Central,Cash,3.05,Latte
2024-03-01,Central,Cash,2.10,Americano
2024-03-01,Central,Cash,3.05,Latte
2024-03-01,Central,Money,2.65,Hot Chocolate
2024-03-01,Central,Cash,2.35,Americano with Milk
2024-03-01,Central,Cash,2.50,Cocoa
2024-03-01,Central,Money,2.35,Americano with Milk
2024-03-02,Central,Cash,2.10,Americano
2024-03-02,Central,Cash,2.35,Americano with Milk
2024-03-02,Central,Money,2.10,Americano
2024-03-03,Central,Cash,2.25,Cortado
2024-03-03,Central,Cash,2.25,Cortado
2024-03-04,Central,Money,1.80,Espresso
2024-03-05,Central,Cash,3.05,Latte
2024-03-05,Central,Cash,2.50,Cocoa
2024-03-05,Central,Cash,2.65,Hot Chocolate
2024-03-05,Central,Cash,2.65,Hot Chocolate
2024-03-05,Central,Cash,2.25,Cortado
2024-03-06,Central,Money,2.35,Americano with Milk
2024-03-06,Central,Cash,2.90,Cappuccino
2024-03-07,Central,Cash,2.65,Hot Chocolate
2024-03-07,Central,Money,3.05,Latte
2024-03-07,Central,Cash,2.10,Americano
2024-03-08,Central,Money,2.25,Cortado
2024-03-08,Central,Cash,2.90,Cappuccino
2024-03-08,Central,Cash,2.10,Americano
2024-03-08,Central,Money,2.35,Americano with Milk
2024-03-08,Central,Cash,3.05,Latte
2024-03-09,Central,Cash,2.10,Americano
2024-03-09,Central,Cash,2.25,Cortado
2024-03-09,Central,Cash,2.90,Cappuccino
2024-03-09,Central,Cash,2.35,Americano with Milk
2024-03-09,Central,Money,2.65,Hot Chocolate
2024-03-09,Central,Cash,2.65,Hot Chocolate
2024-03-10,Central,Cash,2.10,Americano
2024-03-10,Central,Money,3.05,Latte
2024-03-10,Central,Cash,1.80,Espresso
2024-03-10,Central,Cash,3.05,Latte
2024-03-11,Central,Cash,2.25,Cortado
2024-03-11,Central,Cash,2.10,Americano
2024-03-11,Central,Money,2.10,Americano
2024-03-11,Central,Money,3.05,Latte
2024-03-12,Central,Money,3.05,Latte
2024-03-12,Central,Cash,2.10,Americano
2024-03-13,Central,Cash,2.10,Americano
2024-03-13,Central,Money,1.80,Espresso
2024-03-14,Central,Money,2.25,Cortado
2024-03-14,Central,Cash,2.10,Americano
2024-03-14,Central,Money,1.80,Espresso
2024-03-14,Central,Money,2.65,Hot Chocolate
2024-03-15,Central,Money,2.65,Hot Chocolate
2024-03-16,Central,Cash,2.10,Americano
2024-03-16,Central,Cash,2.25,Cortado
2024-03-16,Central,Cash,2.35,Americano with Milk
2024-03-18,Central,Cash,2.25,Cortado
2024-03-19,Central,Cash,3.05,Latte
2024-03-19,Central,Money,2.65,Hot Chocolate
2024-03-20,Central,Money,2.25,Cortado
2024-03-20,Central,Cash,2.90,Cappuccino
2024-03-21,Central,Money,3.05,Latte
2024-03-22,Central,Cash,2.90,Cappuccino
2024-03-22,Central,Cash,1.80,Espresso
2024-03-23,Central,Money,3.05,Latte
2024-03-23,Central,Cash,2.90,Cappuccino
2024-03-23,Central,Money,2.50,Cocoa
2024-03-23,Central,Cash,2.35,Americano with Milk
2024-03-24,Central,Cash,3.05,Latte
2024-03-24,Central,Cash,3.05,Latte
2024-03-26,Central,Cash,2.25,Cortado
2024-03-27,Central,Cash,2.25,Cortado
2024-03-27,Central,Cash,2.35,Americano with Milk
2024-03-27,Central,Money,2.25,Cortado
2024-03-28,Central,Cash,2.25,Cortado
2024-03-31,Central,Cash,2.90,Cappuccino
2024-04-01,Central,Cash,2.35,Americano with Milk
2024-04-01,Central,Money,2.35,Americano with Milk
2024-04-01,Central,Cash,2.65,Hot Chocolate
2024-04-02,Central,Money,2.10,Americano
2024-04-03,Central,Cash,2.25,Cortado
2024-04-03,Central,Cash,2.25,Cortado
2024-04-04,Central,Cash,3.05,Latte
2024-04-04,Central,Cash,2.25,Cortado
2024-04-05,Central,Cash,2.10,Americano
2024-04-05,Central,Money,2.10,Americano
2024-04-05,Central,Cash,2.35,Americano with Milk
2024-04-05,Central,Cash,2.25,Cortado
2024-04-05,Central,Cash,3.05,Latte
2024-04-05,Central,Cash,2.90,Cappuccino
2024-04-05,Central,Cash,2.10,Americano
2024-04-05,Central,Cash,1.80,Espresso
2024-04-06,Central,Cash,2.10,Americano
2024-04-07,Central,Money,2.90,Cappuccino
2024-04-07,Central,Cash,2.25,Cortado
2024-04-07,Central,Cash,1.80,Espresso
2024-04-08,Central,Cash,2.35,Americano with Milk
2024-04-08,Central,Cash,1.80,Espresso
2024-04-08,Central,Cash,2.10,Americano
2024-04-09,Central,Money,2.90,Cappuccino
2024-04-09,Central,Money,2.10,Americano
2024-04-09,Central,Cash,2.65,Hot Chocolate
2024-04-10,Central,Cash,2.65,Hot Chocolate
2024-04-10,Central,Money,2.90,Cappuccino
2024-04-11,Central,Cash,2.35,Americano with Milk
2024-04-13,Central,Cash,3.05,Latte
2024-04-13,Central,Cash,2.65,Hot Chocolate
2024-04-13,Central,Cash,2.90,Cappuccino
2024-04-14,Central,Cash,2.90,Cappuccino
2024-04-14,Central,Cash,2.25,Cortado
2024-04-14,Central,Cash,2.25,Cortado
2024-04-14,Central,Cash,2.35,Americano with Milk
2024-04-14,Central,Cash,2.10,Americano
2024-04-15,Central,Money,2.10,Americano
2024-04-15,Central,Cash,2.35,Americano with Milk
2024-04-15,Central,Money,2.35,Americano with Milk
2024-04-16,Central,Cash,2.35,Americano with Milk
2024-04-16,Central,Cash,2.35,Americano with Milk
2024-04-16,Central,Cash,2.50,Cocoa
2024-04-17,Central,Cash,2.90,Cappuccino
2024-04-18,Central,Cash,2.35,Americano with Milk
2024-04-18,Central,Money,2.65,Hot Chocolate
2024-04-18,Central,Money,2.65,Hot Chocolate
2024-04-19,Central,Cash,3.05,Latte
2024-04-19,Central,Cash,2.90,Cappuccino
2024-04-20,Central,Money,2.35,Americano with Milk
2024-04-20,Central,Cash,2.65,Hot Chocolate
2024-04-20,Central,Cash,2.35,Americano with Milk
2024-04-20,Central,Cash,3.05,Latte
2024-04-22,Central,Money,2.10,Americano
2024-04-22,Central,Cash,3.05,Latte
2024-04-23,Central,Money,2.35,Americano with Milk
2024-04-24,Central,Cash,2.35,Americano with Milk
2024-04-25,Central,Cash,2.10,Americano
2024-04-26,Central,Money,2.10,Americano
2024-04-26,Central,Cash,2.10,Americano
2024-04-26,Central,Cash,2.65,Hot Chocolate
2024-04-27,Central,Money,2.90,Cappuccino
2024-04-28,Central,Money,2.10,Americano
2024-04-28,Central,Cash,2.10,Americano
2024-04-29,Central,Cash,2.25,Cortado
2024-04-29,Central,Money,2.25,Cortado
2024-04-29,Central,Money,2.90,Cappuccino
