"date","vending_machine","cash_type","money","product_name"
"3/1/2024","Riverside","Cash","2.65","Hot Chocolate"
"3/3/2024","Riverside","Cash","2.50","Cocoa"
"3/4/2024","Riverside","Money","2.35","Americano with Milk"
"3/9/2024","Riverside","Cash","2.10","Americano"
"3/9/2024","Riverside","Money","2.90","Cappuccino"
"3/10/2024","Riverside","Cash","2.35","Americano with Milk"
"3/11/2024","Riverside","Cash","2.90","Cappuccino"
"3/12/2024","Riverside","Cash","2.25","Cortado"
"3/12/2024","Riverside","Money","2.10","Americano"
"3/13/2024","Riverside","Cash","2.65","Hot Chocolate"
"3/13/2024","Riverside","Money","2.10","Americano"
"3/13/2024","Riverside","Money","2.10","Americano"
"3/14/2024","Riverside","Cash","3.05","Latte"
"3/14/2024","Riverside","Cash","1.80","Espresso"
"3/14/2024","Riverside","Cash","2.35","Americano with Milk"
"3/14/2024","Riverside","Cash","2.25","Cortado"
"3/19/2024","Riverside","Cash","2.25","Cortado"
"3/20/2024","Riverside","Cash","2.25","Cortado"
"3/20/2024","Riverside","Money","3.05","Latte"
"3/21/2024","Riverside","Cash","2.25","Cortado"
"3/22/2024","Riverside","Cash","2.35","Americano with Milk"
"3/22/2024","Riverside","Cash","2.35","Americano with Milk"
"3/23/2024","Riverside","Cash","3.05","Latte"
"3/23/2024","Riverside","Cash","2.25","Cortado"
"3/26/2024","Riverside","Cash","3.05","Latte"
"3/26/2024","Riverside","Cash","3.05","Latte"
"3/27/2024","Riverside","Cash","2.35","Americano with Milk"
"3/27/2024","Riverside","Cash","2.10","Americano"
"3/28/2024","Riverside","Cash","2.25","Cortado"
"3/28/2024","Riverside","Money","3.05","Latte"
"3/29/2024","Riverside","Cash","3.05","Latte"
"3/30/2024","Riverside","Cash","3.05","Latte"
"3/30/2024","Riverside","Cash","3.05","Latte"
"3/31/2024","Riverside","Cash","2.10","Americano"
"4/1/2024","Riverside","Money","2.35","Americano with Milk"
"4/2/2024","Riverside","Money","2.90","Cappuccino"
"4/3/2024","Riverside","Money","2.10","Americano"
"4/3/2024","Riverside","Cash","2.90","Cappuccino"
"4/5/2024","Riverside","Cash","2.25","Cortado"
"4/6/2024","Riverside","Cash","2.35","Americano with Milk"
"4/7/2024","Riverside","Money","2.90","Cappuccino"
"4/7/2024","Riverside","Cash","2.35","Americano with Milk"
"4/8/2024","Riverside","Cash","3.05","Latte"
"4/8/2024","Riverside","Cash","2.35","Americano with Milk"
"4/8/2024","Riverside","Cash","2.90","Cappuccino"
"4/10/2024","Riverside","Cash","1.80","Espresso"
"4/10/2024","Riverside","Cash","3.05","Latte"
"4/11/2024","Riverside","Cash","2.10","Americano"
"4/11/2024","Riverside","Cash","2.10","Americano"
"4/13/2024","Riverside","Money","2.65","Hot Chocolate"
"4/13/2024","Riverside","Cash","2.90","Cappuccino"
"4/14/2024","Riverside","Money","2.10","Americano"
"4/14/2024","Riverside","Cash","2.90","Cappuccino"
"4/15/2024","Riverside","Cash","2.10","Americano"
"4/15/2024","Riverside","Cash","1.80","Espresso"
"4/16/2024","Riverside","Cash","2.25","Cortado"
"4/16/2024","Riverside","Cash","2.10","Americano"
"4/17/2024","Riverside","Money","2.10","Americano"
"4/18/2024","Riverside","Cash","2.25","Cortado"
"4/18/2024","Riverside","Cash","3.05","Latte"
"4/20/2024","Riverside","Cash","2.35","Americano with Milk"
"4/20/2024","Riverside","Cash","2.35","Americano with Milk"
"4/21/2024","Riverside","Money","3.05","Latte"
"4/21/2024","Riverside","Money","2.90","Cappuccino"
"4/22/2024","Riverside","Cash","2.35","Americano with Milk"
"4/23/2024","Riverside","Cash","2.90","Cappuccino"
"4/24/2024","Riverside","Cash","2.35","Americano with Milk"
"4/24/2024","Riverside","Cash","2.90","Cappuccino"
"4/26/2024","Riverside","Money","3.05","Latte"
"4/26/2024","Riverside","Cash","2.90","Cappuccino"
"4/29/2024","Riverside","Cash","2.25","Cortado"
"4/29/2024","Riverside","Cash","2.35","Americano with Milk"
"4/29/2024","Riverside","Cash","2.90","Cappuccino"
"4/30/2024","Riverside","Cash","2.35","Americano with Milk"
"4/30/2024","Riverside","Money","3.05","Latte"
"5/2/2024","Riverside","Money","3.05","Latte"
"5/6/2024","Riverside","Cash","2.10","Americano"
"5/7/2024","Riverside","Money","2.25","Cortado"
"5/7/2024","Riverside","Cash","2.50","Cocoa"
"5/9/2024","Riverside","Cash","2.10","Americano"
"5/9/2024","Riverside","Cash","2.10","Americano"
"5/9/2024","Riverside","Money","2.35","Americano with Milk"
"5/10/2024","Riverside","Cash","3.05","Latte"
"5/11/2024","Riverside","Cash","3.05","Latte"
"5/12/2024","Riverside","Money","3.05","Latte"
"5/12/2024","Riverside","Cash","2.10","Americano"
"5/12/2024","Riverside","Money","2.35","Americano with Milk"
"5/12/2024","Riverside","Cash","2.35","Americano with Milk"
"5/13/2024","Riverside","Cash","2.10","Americano"
"5/13/2024","Riverside","Cash","2.10","Americano"
"5/14/2024","Riverside","Cash","2.10","Americano"
"5/14/2024","Riverside","Money","2.10","Americano"
"5/15/2024","Riverside","Money","2.10","Americano"
"5/15/2024","Riverside","Cash","2.10","Americano"
"5/16/2024","Riverside","Cash","2.90","Cappuccino"
"5/17/2024","Riverside","Money","2.90","Cappuccino"
"5/17/2024","Riverside","Cash","2.90","Cappuccino"
"5/19/2024","Riverside","Cash","2.10","Americano"
"5/19/2024","Riverside","Cash","2.90","Cappuccino"
"5/20/2024","Riverside","Money","2.35","Americano with Milk"
"5/20/2024","Riverside","Money","2.35","Americano with Milk"
"5/21/2024","Riverside","Cash","3.05","Latte"
"5/21/2024","Riverside","Money","1.80","Espresso"
"5/22/2024","Riverside","Money","2.25","Cortado"
"5/22/2024","Riverside","Cash","2.35","Americano with Milk"
"5/22/2024","Riverside","Cash","2.10","Americano"
"5/23/2024","Riverside","Cash","2.90","Cappuccino"
"5/23/2024","Riverside","Cash","2.90","Cappuccino"
"5/23/2024","Riverside","Cash","2.90","Cappuccino"
"5/24/2024","Riverside","Cash","2.10","Americano"
"5/24/2024","Riverside","Cash","2.10","Americano"
"5/24/2024","Riverside","Cash","2.25","Cortado"
"5/25/2024","Riverside","Money","2.10","Americano"
"5/26/2024","Riverside","Money","2.90","Cappuccino"
"5/26/2024","Riverside","Money","2.65","Hot Chocolate"
"5/26/2024","Riverside","Cash","2.90","Cappuccino"
"5/27/2024","Riverside","Cash","3.05","Latte"
"5/28/2024","Riverside","Cash","2.35","Americano with Milk"
